 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) |ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 1 : 27920.831( 0.015)|20414.358 |4271.998 |39635.0 |28392.0| 0.969(0.02) |6509.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.442(0.007) |0.981(0.005,+0.006-0.006) |0.957(0.02)| 1.0(+0.0-0.0)| 14502.925(+0.013-0.013,+0.029-0.029)
 2 : 2353.546( 0.018)|1707.547 |378.379 |2848.0 |2059.0| 0.969(0.02) |486.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.439(0.014) |0.98(0.005,+0.019-0.019) |0.957(0.02)| 1.0(+0.0-0.0)| 1046.776(+0.048-0.048,+0.036-0.036)
 3 : 166.072( 0.033)|131.308 |22.472 |153.0 |128.0| 0.969(0.02) |18.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.405(0.038) |0.978(0.005,+0.003-0.003) |0.961(0.02)| 1.0(+0.0-0.0)| 55.557(+0.217-0.217,+0.047-0.047)
 4 : 20384.234( 0.015)|15578.077 |2971.366 |27321.0 |20605.0| 0.962(0.047) |4203.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.436(0.007) |0.983(0.005,+0.003-0.003) |0.958(0.045)| 1.0(+0.0-0.0)| 10187.161(+0.015-0.015,+0.049-0.049)
 5 : 5602.1( 0.016)|4340.596 |820.172 |7180.0 |5531.0| 0.962(0.047) |1078.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.433(0.009) |0.992(0.005,+0.003-0.003) |0.958(0.045)| 1.0(+0.0-0.0)| 2720.261(+0.03-0.03,+0.05-0.05)
 6 : 262.432( 0.028)|215.735 |29.365 |259.0 |215.0| 0.962(0.047) |30.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.43(0.03) |0.99(0.005,+0.002-0.002) |0.959(0.046)| 1.0(+0.0-0.0)| 100.014(+0.157-0.157,+0.058-0.058)
 7 : 5144.431( 0.016)|4372.122 |577.371 |6344.0 |5361.0| 0.978(0.027) |751.0| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) |0.419(0.009) |0.987(0.005,+0.006-0.006) |0.976(0.026)| 1.0(+0.0-0.0)| 2472.074(+0.032-0.032,+0.033-0.033)
 8 : 170.613( 0.033)|148.292 |17.113 |172.0 |149.0| 0.978(0.027) |16.0| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) |0.428(0.036) |0.993(0.005,+0.002-0.002) |0.977(0.026)| 1.0(+0.0-0.0)| 68.653(+0.187-0.187,+0.048-0.048)
 9 : 699.195( 0.02)|657.416 |35.891 |770.0 |713.0| 0.978(0.027) |50.0| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) |0.402(0.018) |1.0(0.005,+0.0-0.03) |0.977(0.026)| 1.0(+0.0-0.0)| 302.437(+0.091-0.091,+0.037-0.048)
 10 : 23.778( 0.08)|22.803 |0.975 |26.0 |26.0| 0.978(0.027) |0.0| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) |0.522(0.09) |0.954(0.005,+0.005-0.005) |0.978(0.027)| 1.0(+0.0-0.0)| 12.794(+0.419-0.419,+0.096-0.096)
 11 : 18918.846( 0.016)|13726.91 |2988.353 |26255.0 |18747.0| 0.969(0.02) |4363.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.444(0.008) |0.936(0.005,+0.006-0.006) |0.957(0.02)| 1.0(+0.0-0.0)| 9202.138(+0.017-0.017,+0.029-0.029)
 12 : 6757.432( 0.016)|4863.162 |1115.448 |7771.0 |5707.0| 0.969(0.02) |1229.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.435(0.008) |0.961(0.005,+0.01-0.01) |0.957(0.02)| 1.0(+0.0-0.0)| 2781.184(+0.03-0.03,+0.03-0.03)
 13 : 580.094( 0.022)|432.918 |89.491 |514.0 |399.0| 0.969(0.02) |74.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.443(0.021) |0.972(0.005,+0.004-0.004) |0.959(0.02)| 1.0(+0.0-0.0)| 195.443(+0.111-0.111,+0.034-0.034)
