 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) | ZJetsHisto_Rzg | GJetsHisto_Rzg | ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow) |Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 1 : 26630.349( 0.015)|19454.836 |7175.004 |0.0 |19222.176| 0.969(0.02) |7089.198| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 12268.143 | 26311.877 | 0.466(0.006) |0.981(0.005,+0.006-0.006) |0.951(0.02)| 1.0(+0.0-0.0) |0.009(+18293.289-18293.289,+0.029-0.029)
 2 : 2305.333( 0.018)|1671.458 |633.891 |0.0 |1651.469| 0.969(0.02) |626.31| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 1029.608 | 2277.763 | 0.452(0.013) |0.98(0.005,+0.019-0.019) |0.951(0.02)| 1.0(+0.0-0.0) |0.024(+1951.246-1951.246,+0.036-0.036)
 3 : 167.125( 0.033)|132.057 |35.068 |0.006 |130.478| 0.969(0.02) |34.649| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 72.395 | 165.127 | 0.438(0.036) |0.978(0.005,+0.003-0.003) |0.955(0.02)| 1.0(+0.0-0.0) |0.086(+149.819-149.819,+0.045-0.045)
 4 : 19557.592( 0.015)|14940.026 |4617.327 |0.0 |14761.358| 0.962(0.047) |4562.108| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 9126.729 | 19323.703 | 0.472(0.006) |0.983(0.005,+0.003-0.003) |0.956(0.044)| 1.0(+0.0-0.0) |0.01(+14537.538-14537.538,+0.048-0.048)
 5 : 5471.6( 0.016)|4237.709 |1234.094 |0.0 |4187.03| 0.962(0.047) |1219.335| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 2530.289 | 5406.165 | 0.468(0.009) |0.992(0.005,+0.003-0.003) |0.956(0.044)| 1.0(+0.0-0.0) |0.016(+4573.209-4573.209,+0.049-0.049)
 6 : 264.024( 0.028)|216.965 |47.059 |0.004 |214.37| 0.962(0.047) |46.496| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) | 123.398 | 260.867 | 0.473(0.029) |0.99(0.005,+0.002-0.002) |0.957(0.045)| 1.0(+0.0-0.0) |0.068(+236.864-236.864,+0.056-0.056)
 7 : 5044.947( 0.016)|4291.458 |753.659 |0.0 |4240.137| 0.978(0.027) |744.646| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 2405.659 | 4984.615 | 0.483(0.008) |0.987(0.005,+0.006-0.006) |0.976(0.026)| 1.0(+0.0-0.0) |0.016(+4313.652-4313.652,+0.033-0.033)
 8 : 171.821( 0.033)|149.44 |22.38 |0.006 |147.653| 0.978(0.027) |22.113| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) | 83.273 | 169.766 | 0.491(0.035) |0.993(0.005,+0.002-0.002) |0.976(0.026)| 1.0(+0.0-0.0) |0.084(+154.273-154.273,+0.047-0.047)
 9 : 706.946( 0.02)|665.619 |41.327 |0.001 |657.659| 0.978(0.027) |40.833| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 336.665 | 698.492 | 0.482(0.017) |1.0(0.005,+0.0-0.03) |0.977(0.027)| 1.0(+0.0-0.0) |0.042(+635.324-635.324,+0.037-0.048)
 10 : 24.136( 0.079)|23.168 |0.968 |0.042 |22.891| 0.978(0.027) |0.957| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) | 15.127 | 23.847 | 0.634(0.09) |0.954(0.005,+0.005-0.005) |0.977(0.027)| 1.0(+0.0-0.0) |0.223(+21.851-21.851,+0.095-0.095)
 11 : 18107.228( 0.016)|13126.313 |4980.397 |0.0 |12969.335| 0.969(0.02) |4920.836| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 8315.418 | 17890.684 | 0.465(0.007) |0.936(0.005,+0.006-0.006) |0.951(0.02)| 1.0(+0.0-0.0) |0.01(+12925.886-12925.886,+0.029-0.029)
 12 : 6624.796( 0.016)|4764.34 |1860.804 |0.0 |4707.363| 0.969(0.02) |1838.551| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) | 2902.327 | 6545.57 | 0.443(0.008) |0.961(0.005,+0.01-0.01) |0.951(0.02)| 1.0(+0.0-0.0) |0.014(+5595.097-5595.097,+0.03-0.03)
